province,year,active_insured_total,category,indicator,unit,geographical_region,statistical_region
Ankara,2009,1370495,Aktif Sigortalılar,"01.Toplam Aktif Sigortalı (4a, 4b, 4c)",Kişi,İç Anadolu,Batı Anadolu
Ankara,2010,1441010,Aktif Sigortalılar,"01.Toplam Aktif Sigortalı (4a, 4b, 4c)",Kişi,İç Anadolu,Batı Anadolu
Ankara,2011,1535797,Aktif Sigortalılar,"01.Toplam Aktif Sigortalı (4a, 4b, 4c)",Kişi,İç Anadolu,Batı Anadolu
Ankara,2012,1649056,Aktif Sigortalılar,"01.Toplam Aktif Sigortalı (4a, 4b, 4c)",Kişi,İç Anadolu,Batı Anadolu
Ankara,2013,1700676,Aktif Sigortalılar,"01.Toplam Aktif Sigortalı (4a, 4b, 4c)",Kişi,İç Anadolu,Batı Anadolu
Ankara,2014,1803065,Aktif Sigortalılar,"01.Toplam Aktif Sigortalı (4a, 4b, 4c)",Kişi,İç Anadolu,Batı Anadolu
Ankara,2015,1961998,Aktif Sigortalılar,"01.Toplam Aktif Sigortalı (4a, 4b, 4c)",Kişi,İç Anadolu,Batı Anadolu
Ankara,2016,1850345,Aktif Sigortalılar,"01.Toplam Aktif Sigortalı (4a, 4b, 4c)",Kişi,İç Anadolu,Batı Anadolu
Ankara,2017,1914046,Aktif Sigortalılar,"01.Toplam Aktif Sigortalı (4a, 4b, 4c)",Kişi,İç Anadolu,Batı Anadolu
Ankara,2018,1930853,Aktif Sigortalılar,"01.Toplam Aktif Sigortalı (4a, 4b, 4c)",Kişi,İç Anadolu,Batı Anadolu
Ankara,2019,1944518,Aktif Sigortalılar,"01.Toplam Aktif Sigortalı (4a, 4b, 4c)",Kişi,İç Anadolu,Batı Anadolu
Ankara,2020,1991691,Aktif Sigortalılar,"01.Toplam Aktif Sigortalı (4a, 4b, 4c)",Kişi,İç Anadolu,Batı Anadolu
Ankara,2021,2085635,Aktif Sigortalılar,"01.Toplam Aktif Sigortalı (4a, 4b, 4c)",Kişi,İç Anadolu,Batı Anadolu
Ankara,2022,2082642,Aktif Sigortalılar,"01.Toplam Aktif Sigortalı (4a, 4b, 4c)",Kişi,İç Anadolu,Batı Anadolu
Ankara,2023,2034354,Aktif Sigortalılar,"01.Toplam Aktif Sigortalı (4a, 4b, 4c)",Kişi,İç Anadolu,Batı Anadolu
Ankara,2024,2061651,Aktif Sigortalılar,"01.Toplam Aktif Sigortalı (4a, 4b, 4c)",Kişi,İç Anadolu,Batı Anadolu
Antalya,2009,488463,Aktif Sigortalılar,"01.Toplam Aktif Sigortalı (4a, 4b, 4c)",Kişi,Akdeniz,Akdeniz
Antalya,2010,524424,Aktif Sigortalılar,"01.Toplam Aktif Sigortalı (4a, 4b, 4c)",Kişi,Akdeniz,Akdeniz
Antalya,2011,571760,Aktif Sigortalılar,"01.Toplam Aktif Sigortalı (4a, 4b, 4c)",Kişi,Akdeniz,Akdeniz
Antalya,2012,606187,Aktif Sigortalılar,"01.Toplam Aktif Sigortalı (4a, 4b, 4c)",Kişi,Akdeniz,Akdeniz
Antalya,2013,639172,Aktif Sigortalılar,"01.Toplam Aktif Sigortalı (4a, 4b, 4c)",Kişi,Akdeniz,Akdeniz
Antalya,2014,679320,Aktif Sigortalılar,"01.Toplam Aktif Sigortalı (4a, 4b, 4c)",Kişi,Akdeniz,Akdeniz
Antalya,2015,697160,Aktif Sigortalılar,"01.Toplam Aktif Sigortalı (4a, 4b, 4c)",Kişi,Akdeniz,Akdeniz
Antalya,2016,672864,Aktif Sigortalılar,"01.Toplam Aktif Sigortalı (4a, 4b, 4c)",Kişi,Akdeniz,Akdeniz
Antalya,2017,712828,Aktif Sigortalılar,"01.Toplam Aktif Sigortalı (4a, 4b, 4c)",Kişi,Akdeniz,Akdeniz
Antalya,2018,732295,Aktif Sigortalılar,"01.Toplam Aktif Sigortalı (4a, 4b, 4c)",Kişi,Akdeniz,Akdeniz
Antalya,2019,748235,Aktif Sigortalılar,"01.Toplam Aktif Sigortalı (4a, 4b, 4c)",Kişi,Akdeniz,Akdeniz
Antalya,2020,760751,Aktif Sigortalılar,"01.Toplam Aktif Sigortalı (4a, 4b, 4c)",Kişi,Akdeniz,Akdeniz
Antalya,2021,830157,Aktif Sigortalılar,"01.Toplam Aktif Sigortalı (4a, 4b, 4c)",Kişi,Akdeniz,Akdeniz
Antalya,2022,929464,Aktif Sigortalılar,"01.Toplam Aktif Sigortalı (4a, 4b, 4c)",Kişi,Akdeniz,Akdeniz
Antalya,2023,924562,Aktif Sigortalılar,"01.Toplam Aktif Sigortalı (4a, 4b, 4c)",Kişi,Akdeniz,Akdeniz
