province,year,education_population_6_plus,illiterate_total,literate_no_diploma_total,lower_secondary_total,upper_secondary_total,university_total,masters_total,doctorate_total,illiterate_rate,upper_secondary_rate,university_rate,postgraduate_rate
Aydın,2024,1080596.0,15034.0,92710.0,176912.0,243693.0,176118.0,19056.0,3071.0,0.013912692625180918,0.22551721457417945,0.1629822801491029,0.020476662878633645
Ağrı,2021,453326.0,27267.0,79162.0,103864.0,65372.0,35245.0,4025.0,414.0,0.06014876711240917,0.14420527390884263,0.07774758121087252,0.009792070165840917
Ağrı,2022,444756.0,26132.0,76698.0,100329.0,67266.0,35901.0,3925.0,436.0,0.05875581217566486,0.15124247902220544,0.0807206648139654,0.009805376431121783
Ağrı,2023,449814.0,25808.0,76902.0,100788.0,71380.0,39842.0,4276.0,455.0,0.057374826039207315,0.15868781318500536,0.0885743885250348,0.01051768064133175
Ağrı,2024,442717.0,24738.0,74907.0,99368.0,72353.0,39036.0,4136.0,501.0,0.055877682582778615,0.1634294594515232,0.08817370916409355,0.010473959662719074
Balıkesir,2021,1164009.0,19419.0,92624.0,180633.0,255585.0,185523.0,16983.0,2542.0,0.016682860699530674,0.21957304453831542,0.15938278827741023,0.016773925287519253
Balıkesir,2022,1172582.0,18908.0,90876.0,177373.0,263751.0,193137.0,18318.0,2649.0,0.01612509828736924,0.2249318171351769,0.16471086883475952,0.017881052241975403
Balıkesir,2023,1190347.0,18535.0,90064.0,180266.0,273717.0,202141.0,19916.0,2868.0,0.015571089774662346,0.22994723387382,0.16981686852657252,0.019140637141942644
Balıkesir,2024,1196112.0,17680.0,87909.0,178629.0,280595.0,208389.0,21187.0,3012.0,0.014781224500715652,0.2345892357906283,0.17422197921264898,0.020231383014299664
Bartın,2021,188131.0,6270.0,18526.0,29814.0,39141.0,22179.0,2175.0,462.0,0.03332784070674158,0.20805183622050594,0.11789125662437344,0.014016828699151123
Bartın,2022,189845.0,5953.0,18011.0,29241.0,41155.0,23456.0,2355.0,496.0,0.03135715978824831,0.21678211172272116,0.12355342516263268,0.015017514287971767
Bartın,2023,193998.0,5700.0,17915.0,30011.0,43520.0,24420.0,2511.0,540.0,0.02938174620356911,0.22433220961040837,0.12587758636686977,0.015726966257384095
Bartın,2024,194265.0,5363.0,17191.0,29568.0,44654.0,25258.0,2580.0,589.0,0.027606619823437057,0.22986127197385015,0.13001827400715518,0.0163127686407742
Batman,2021,544620.0,23943.0,78318.0,128543.0,111169.0,59465.0,6489.0,537.0,0.04396276302743197,0.20412214020785135,0.10918622158569277,0.012900738129337888
Batman,2022,554972.0,23504.0,79110.0,127023.0,119605.0,62418.0,7065.0,574.0,0.04235168621119624,0.21551537735237092,0.11247053905422255,0.013764658397180399
Batman,2023,569269.0,23431.0,81209.0,129241.0,126388.0,64987.0,8293.0,598.0,0.04115980318619141,0.22201806175990613,0.1141586842072904,0.01561827536718142
Batman,2024,579177.0,22971.0,81200.0,128853.0,132811.0,68065.0,8679.0,659.0,0.03966145064462159,0.22930986555060026,0.11752020539489655,0.016122877807647748
Bayburt,2021,78238.0,2756.0,6682.0,12765.0,20536.0,11192.0,1216.0,313.0,0.03522584933152688,0.26248114726859073,0.14305069147984356,0.0195429331015619
Bayburt,2022,77836.0,2632.0,6620.0,12261.0,21221.0,11062.0,1293.0,335.0,0.03381468729122771,0.2726373400483067,0.14211932781746237,0.020915771622385528
Bayburt,2023,79724.0,2529.0,6643.0,12465.0,21855.0,11569.0,1326.0,348.0,0.031721940695399124,0.2741332597461241,0.14511314033415282,0.02099744117204355
Bayburt,2024,77575.0,2420.0,6437.0,11950.0,21183.0,11528.0,1405.0,370.0,0.03119561714469868,0.27306477602320334,0.14860457621656462,0.022881082823074442
Bilecik,2021,209217.0,3110.0,14372.0,34237.0,53598.0,33094.0,2863.0,466.0,0.014864948833029822,0.2561837709172773,0.15818026259816362,0.015911708895548642
Bilecik,2022,210087.0,3060.0,14347.0,33179.0,55161.0,33378.0,2980.0,495.0,0.014565394336631966,0.26256265261534506,0.15887703665624242,0.016540766444377804
Bilecik,2023,209550.0,3018.0,14460.0,33103.0,56091.0,32356.0,3076.0,533.0,0.014402290622763063,0.2676735862562634,0.15440706275351945,0.017222619899785255
Bilecik,2024,210632.0,2800.0,14452.0,32862.0,57638.0,32987.0,3313.0,575.0,0.013293326749971515,0.27364313114816363,0.1566096319647537,0.018458733715674733
Bingöl,2021,252959.0,12737.0,29715.0,49398.0,64252.0,30476.0,3392.0,497.0,0.05035203333346511,0.2540016366288608,0.12047802213006852,0.015374032946050546
Bingöl,2022,253802.0,12343.0,29671.0,47594.0,66411.0,31686.0,3522.0,530.0,0.048632398483857496,0.2616646046918464,0.12484535188847999,0.015965201219848544
Bingöl,2023,258009.0,11986.0,30231.0,48052.0,68578.0,32597.0,3706.0,583.0,0.046455743791883226,0.26579692956447254,0.12634055401168176,0.016623451119922174
Bingöl,2024,257278.0,11491.0,29877.0,46856.0,69798.0,33198.0,3957.0,626.0,0.04466374894083443,0.27129408655228976,0.12903551799998444,0.01781341583812063
Bitlis,2021,307283.0,14085.0,44895.0,72529.0,58113.0,31339.0,3428.0,389.0,0.04583722496851437,0.18911882531737845,0.10198741876381055,0.0124217740649499
Bitlis,2022,310406.0,13719.0,44960.0,71175.0,61963.0,32595.0,3590.0,410.0,0.04419695495576761,0.19961920839159036,0.10500763516169147,0.01288634884634962
Bitlis,2023,317330.0,13592.0,46114.0,72359.0,64984.0,34183.0,3930.0,453.0,0.042832382693095514,0.20478366369394638,0.10772066933476192,0.013812119875208773
Bitlis,2024,319366.0,13213.0,46092.0,72488.0,67137.0,34818.0,4089.0,489.0,0.04137259445275953,0.2102196226273304,0.1090222503334732,0.014334650526355342
Bolu,2021,289119.0,7171.0,21867.0,40767.0,72396.0,45068.0,5027.0,1219.0,0.024802935815356305,0.2504020835711247,0.15588045061030234,0.021603561163396387
Bolu,2022,291573.0,6892.0,21607.0,39975.0,74746.0,46983.0,5218.0,1248.0,0.023637305237453398,0.25635432636080846,0.1611363192065109,0.022176264606119222
Bolu,2023,296549.0,6621.0,21601.0,41264.0,77821.0,47869.0,5552.0,1293.0,0.022326833002303162,0.2624220617840559,0.16142020374373206,0.023082188778245753
Bolu,2024,299738.0,6285.0,21323.0,41251.0,80287.0,49590.0,5879.0,1380.0,0.020968312326098127,0.26785726200882104,0.1654444881863494,0.024217816893420254
Burdur,2021,252330.0,4923.0,19837.0,39556.0,54670.0,38098.0,4189.0,802.0,0.01951016525977886,0.21666072207030476,0.15098482146395592,0.019779653628185314
Burdur,2022,253305.0,4692.0,19361.0,37233.0,57189.0,40056.0,4526.0,857.0,0.018523124296796353,0.2257713033694558,0.15813347545449163,0.021251060973924714
Burdur,2023,257461.0,4697.0,19164.0,38623.0,60713.0,40113.0,4475.0,900.0,0.018243539798260707,0.23581435634911696,0.15580223800886348,0.020876948353342837
Burdur,2024,256873.0,4441.0,18492.0,37629.0,61114.0,41904.0,4911.0,950.0,0.01728869908476173,0.2379152343765207,0.16313119712854213,0.02281672266061439
Bursa,2021,2843315.0,54019.0,238381.0,501253.0,667284.0,447631.0,43280.0,5685.0,0.018998598466930326,0.23468521778276413,0.15743278532276586,0.01722109579839026
Bursa,2022,2890561.0,53483.0,239069.0,495252.0,696684.0,469565.0,46286.0,5977.0,0.018502636685404666,0.2410203417260525,0.1624477047881017,0.018080573286638823
Bursa,2023,2922656.0,53300.0,239857.0,508696.0,720500.0,484338.0,49281.0,6277.0,0.018236836630790624,0.24652234132241357,0.16571844240307446,0.019009421567231996
Bursa,2024,2960568.0,50878.0,239819.0,507870.0,743321.0,503008.0,52490.0,6717.0,0.017185215809939175,0.251073780436727,0.16990253221679083,0.01999852730962437
Denizli,2021,960475.0,11620.0,86845.0,160408.0,212453.0,141862.0,14156.0,2528.0,0.01209818058773003,0.22119576251333975,0.14769983601863662,0.01737057185246883
Denizli,2022,969415.0,11771.0,85290.0,157593.0,219979.0,148628.0,15097.0,2610.0,0.012142374524842302,0.22691932763573908,0.1533172067690308,0.01826565506001042
Denizli,2023,975699.0,12043.0,84054.0,160071.0,224776.0,153345.0,15916.0,2713.0,0.012342945929021142,0.23037432650848264,0.15716424840037757,0.019092978469794474
Denizli,2024,982212.0,11418.0,82362.0,158099.0,231695.0,159131.0,16805.0,2861.0,0.011624781615374278,0.23589102963515005,0.16201288520197268,0.020022154076716637
Diyarbakır,2021,1555527.0,84017.0,256318.0,358652.0,284102.0,169860.0,19682.0,2101.0,0.054011920075961395,0.182640352755047,0.10919771884383878,0.014003614209203697
Diyarbakır,2022,1576801.0,82042.0,257760.0,356517.0,300540.0,177174.0,20652.0,2222.0,0.052030662081010856,0.19060109677758957,0.1123629424385195,0.014506586436715856
Diyarbakır,2023,1600426.0,80427.0,260786.0,361012.0,313245.0,182784.0,22562.0,2339.0,0.0502534950069544,0.1957260129490523,0.11420959169621088,0.015558982420930427
Diyarbakır,2024,1624377.0,77946.0,261481.0,363847.0,327982.0,189070.0,23763.0,2507.0,0.047985166005182295,0.20191248706427142,0.11639539343391343,0.016172354077901865
Düzce,2021,363392.0,8643.0,32575.0,61062.0,84133.0,50986.0,5198.0,1010.0,0.02378423300457908,0.23152133233532934,0.14030578548784783,0.017083480098626275
