province,year,population,in_migration,out_migration,net_migration,net_migration_rate
Kahramanmaraş,2023,1116618.0,31582.0,82119.0,-50537.0,-44.25746341689826
Kahramanmaraş,2024,1134105.0,37523.0,30393.0,7130.0,6.306720682151893
Karabük,2021,249287.0,16168.0,11598.0,4570.0,18.50187447874916
Karabük,2022,252058.0,13801.0,12987.0,814.0,3.2346384476914456
Karabük,2023,255242.0,17977.0,14615.0,3362.0,13.259136854642472
Karabük,2024,250478.0,10481.0,14090.0,-3609.0,-14.305391773111491
Karaman,2021,258838.0,12420.0,10885.0,1535.0,5.947987081049558
Karaman,2022,260838.0,11387.0,10969.0,418.0,1.6038123155903603
Karaman,2023,263960.0,15156.0,11829.0,3327.0,12.684118926482054
Karaman,2024,262791.0,10319.0,11846.0,-1527.0,-5.793868061444597
Kars,2021,281077.0,11259.0,16471.0,-5212.0,-18.37262014290599
Kars,2022,274829.0,11568.0,18787.0,-7219.0,-25.92673067840834
Kars,2023,278335.0,15376.0,16382.0,-1006.0,-3.607829635845903
Kars,2024,272300.0,9588.0,16560.0,-6972.0,-25.280471089903042
Kastamonu,2021,375592.0,18463.0,17241.0,1222.0,3.258831780810228
Kastamonu,2022,378115.0,19960.0,16321.0,3639.0,9.670591330483623
Kastamonu,2023,388990.0,30284.0,17608.0,12676.0,33.1267052047291
Kastamonu,2024,381991.0,15894.0,20854.0,-4960.0,-12.90084297645336
Kayseri,2021,1434357.0,40628.0,39915.0,713.0,0.49721042635619717
Kayseri,2022,1441523.0,38374.0,38902.0,-528.0,-0.3662122074897332
Kayseri,2023,1445683.0,47180.0,46791.0,389.0,0.26911317523453143
Kayseri,2024,1452458.0,37960.0,36622.0,1338.0,0.9216215304014564
Kilis,2021,145826.0,7474.0,7262.0,212.0,1.4548449080428218
Kilis,2022,147919.0,8008.0,7629.0,379.0,2.565499781695599
Kilis,2023,155179.0,12750.0,7604.0,5146.0,33.72082355870674
Kilis,2024,156739.0,7503.0,8041.0,-538.0,-3.426576989707531
Kocaeli,2021,2033441.0,83959.0,66332.0,17627.0,8.706292885975321
Kocaeli,2022,2079072.0,89685.0,62534.0,27151.0,13.145023484668213
Kocaeli,2023,2102907.0,92564.0,81219.0,11345.0,5.409504754952295
Kocaeli,2024,2130006.0,80804.0,63593.0,17211.0,8.113036647252605
Konya,2021,2277017.0,64254.0,58865.0,5389.0,2.369496850160872
Konya,2022,2296347.0,57578.0,57765.0,-187.0,-0.08143037017506005
Konya,2023,2320241.0,75214.0,61210.0,14004.0,6.053849169930128
Konya,2024,2330024.0,53971.0,56234.0,-2263.0,-0.9707632116347451
Kütahya,2021,578640.0,21913.0,21052.0,861.0,1.4890796501959929
Kütahya,2022,580701.0,20014.0,21209.0,-1195.0,-2.055742445576584
Kütahya,2023,575674.0,24281.0,28405.0,-4124.0,-7.138208455072905
Kütahya,2024,571078.0,18364.0,20502.0,-2138.0,-3.736801905803928
Kırklareli,2021,366363.0,17846.0,13855.0,3991.0,10.95322716762609
Kırklareli,2022,369347.0,18230.0,13843.0,4387.0,11.948680865087763
Kırklareli,2023,377156.0,22171.0,14336.0,7835.0,20.99193947033867
Kırklareli,2024,379031.0,15265.0,14128.0,1137.0,3.00426065990686
Kırıkkale,2021,275968.0,13449.0,16187.0,-2738.0,-9.87246562845924
Kırıkkale,2022,277046.0,14645.0,14703.0,-58.0,-0.2093296038978616
Kırıkkale,2023,285744.0,23664.0,13403.0,10261.0,36.56630917614441
Kırıkkale,2024,283053.0,13584.0,16881.0,-3297.0,-11.580550155162511
Kırşehir,2021,242944.0,11676.0,13193.0,-1517.0,-6.224802782080611
Kırşehir,2022,244519.0,13231.0,11934.0,1297.0,5.318396444014344
Kırşehir,2023,247179.0,16475.0,12735.0,3740.0,15.246077396263487
