province,province_key,year,geographical_region,statistical_region,population,in_migration,out_migration,net_migration,net_migration_rate,active_insured_total,active_insured_share_of_population,education_population_6_plus,illiterate_total,literate_no_diploma_total,lower_secondary_total,upper_secondary_total,university_total,masters_total,doctorate_total,illiterate_rate,upper_secondary_rate,university_rate,postgraduate_rate,higher_education_share,tr_code,academic_year,upper_secondary_gross_enrollment_rate,general_secondary_gross_enrollment_rate,vocational_secondary_gross_enrollment_rate,investigation_files_total_load,investigation_files_carry_in,investigation_files_opened,investigation_files_closed,investigation_files_carry_out,investigation_files_total_load_per_100k,investigation_files_opened_per_100k,high_justice_risk
Düzce,duzce,2021,Karadeniz,Doğu Marmara,400976.0,16828.0,14191.0,2637.0,6.598149665651214,120562,0.3006713618770201,363392.0,8643.0,32575.0,61062.0,84133.0,50986.0,5198.0,1010.0,0.023784233004579,0.2315213323353293,0.1403057854878478,0.0170834800986262,0.15738926558647412,TR423,2020-2021,122.88,74.34,48.53,39639.0,19517.0,20122.0,18992.0,20647.0,9885.6290650812,5018.255456685687,0
Edirne,edirne,2021,Marmara,Batı Marmara,412115.0,19443.0,15822.0,3621.0,8.825153026593664,114109,0.27688630600681846,383259.0,7639.0,27896.0,57132.0,90174.0,57489.0,6460.0,1658.0,0.0199316911018397,0.2352821460161405,0.1500003913802415,0.0211814986732209,0.17118189005346254,TR212,2020-2021,125.58,76.15,49.43,50363.0,24888.0,25475.0,27064.0,23299.0,12220.618031374737,6181.527000958471,1
Elazığ,elazig,2021,Doğu Anadolu,Ortadoğu Anadolu,588088.0,20800.0,22429.0,-1629.0,-2.766162480206825,142030,0.2415114744732081,538821.0,17771.0,63932.0,102371.0,123318.0,78428.0,9873.0,2037.0,0.0329812683618492,0.228866358215437,0.1455548317530311,0.0221038155528459,0.1676586473058771,TRB12,2020-2021,127.61,75.92,51.69,45732.0,19855.0,25877.0,25310.0,20422.0,7776.387207356722,4400.1918080287305,0
Erzincan,erzincan,2021,Doğu Anadolu,Kuzeydoğu Anadolu,237351.0,16049.0,13564.0,2485.0,10.524822274505151,61481,0.25902987558510393,216509.0,8430.0,18997.0,34085.0,54906.0,35106.0,3561.0,803.0,0.0389360257541256,0.2535968481679745,0.1621456844750102,0.0201562059775806,0.18230189045259088,TRA12,2020-2021,119.08,71.34,47.75,18625.0,6589.0,12036.0,10852.0,7773.0,7847.028240875328,5070.970840653716,1
Erzurum,erzurum,2021,Doğu Anadolu,Kuzeydoğu Anadolu,756893.0,28554.0,36798.0,-8244.0,-10.832900796961953,163646,0.21620757491481624,679307.0,30759.0,76770.0,129677.0,145741.0,86906.0,11773.0,2884.0,0.0452799691450257,0.2145436452149028,0.1279333202808155,0.0215764006553737,0.1495097209361894,TRA11,2020-2021,115.33,73.18,42.15,46470.0,19184.0,27286.0,26279.0,20191.0,6139.573228976883,3605.0009710751715,0
Eskişehir,eskisehir,2021,İç Anadolu,Doğu Marmara,898369.0,36776.0,31532.0,5244.0,5.854331636053484,279449,0.31106260345136577,815496.0,11920.0,54863.0,120706.0,215940.0,152602.0,18762.0,4692.0,0.0146168712047637,0.2647959033520703,0.1871278338581673,0.0287604108419906,0.21588824470015794,TR412,2020-2021,129.91,76.27,53.65,116221.0,54113.0,62108.0,62989.0,53232.0,12936.888962107998,6913.4175377823585,1
Gaziantep,gaziantep,2021,Güneydoğu Anadolu,Güneydoğu Anadolu,2130432.0,50203.0,57475.0,-7272.0,-3.4075765158373583,546411,0.25647896764599853,1853829.0,51398.0,244259.0,409805.0,315598.0,195862.0,22870.0,2811.0,0.0277253187861447,0.1702411603227697,0.1056526788608873,0.0138529497596596,0.11950562862054699,TRC11,2020-2021,125.75,74.34,51.4,348570.0,221520.0,127050.0,114228.0,234342.0,16361.470349675557,5963.579217736121,1
Giresun,giresun,2021,Karadeniz,Doğu Karadeniz,450154.0,21392.0,19575.0,1817.0,4.044559155294822,108767,0.2416217561101312,418847.0,17102.0,46465.0,65206.0,91817.0,60266.0,5489.0,1051.0,0.0408311388167994,0.2192136985581847,0.1438854760807645,0.0156142935248432,0.15949976960560777,TR903,2020-2021,130.15,81.98,48.17,31991.0,11390.0,20601.0,19330.0,12661.0,7106.679047614817,4576.433842640518,0
Gümüşhane,gumushane,2021,Karadeniz,Doğu Karadeniz,150119.0,14114.0,11611.0,2503.0,16.813609417770834,28253,0.18820402480698645,138032.0,4498.0,14652.0,19038.0,33339.0,19308.0,2002.0,410.0,0.0325866465747073,0.2415309493450794,0.1398806073953865,0.0174742088791005,0.15735481627448708,TR906,2020-2021,120.8,75.22,45.58,9131.0,3381.0,5750.0,5825.0,3306.0,6082.50787708418,3830.294632924547,0
Hakkari,hakkari,2021,Doğu Anadolu,Ortadoğu Anadolu,278218.0,7886.0,13088.0,-5202.0,-18.524387594856474,65074,0.23389572205967982,246664.0,9042.0,31278.0,62769.0,65539.0,26931.0,2257.0,170.0,0.0366571530503032,0.2657015210975254,0.1091809100638925,0.009839295559952,0.11902020562384458,TRB24,2020-2021,131.86,76.19,55.67,27173.0,13771.0,13402.0,12744.0,14429.0,9766.80157286732,4817.085882293741,0
Hatay,hatay,2021,Akdeniz,Akdeniz,1670712.0,35929.0,49001.0,-13072.0,-7.793719235318808,356543,0.2134078165476755,1496691.0,25828.0,193661.0,292240.0,276208.0,183260.0,17676.0,2120.0,0.0172567350241298,0.1845457746455347,0.1224434435698484,0.013226511016636,0.13566995458648445,TR631,2020-2021,120.88,77.47,43.4,174680.0,93380.0,81300.0,79516.0,95164.0,10455.42259826948,4866.18878657722,0
Isparta,isparta,2021,Akdeniz,Akdeniz,445678.0,22632.0,19998.0,2634.0,5.9276129093237255,128406,0.2881138400369774,406770.0,8258.0,31394.0,60583.0,101274.0,67539.0,8189.0,2350.0,0.0203013988248887,0.2489711630651228,0.1660373183863116,0.0259089903385205,0.1919463087248322,TR612,2020-2021,124.11,76.08,48.03,43496.0,17064.0,26432.0,26905.0,16591.0,9759.512473130826,5930.739233258092,1
Iğdır,igdir,2021,Doğu Anadolu,Kuzeydoğu Anadolu,203159.0,7563.0,10173.0,-2610.0,-12.76508333985445,37041,0.1823251738785877,179601.0,10220.0,25440.0,38509.0,31764.0,19425.0,2142.0,337.0,0.0569039147888931,0.1768587034593348,0.1081564133829989,0.0138028184698303,0.12195923185282932,TRA23,2020-2021,116.02,69.33,46.69,20017.0,8918.0,11099.0,10648.0,9369.0,9852.873857422019,5463.208619849477,1
Kahramanmaraş,kahramanmaras,2021,Akdeniz,Akdeniz,1171298.0,27246.0,35647.0,-8401.0,-7.146755185140602,275590,0.23528598187651648,1052370.0,42437.0,122140.0,215605.0,200031.0,119665.0,13354.0,1722.0,0.040325170804945,0.1900766840559879,0.1137100069367237,0.0143257599513479,0.1280357668880717,TR632,2020-2021,125.58,73.97,51.62,94460.0,44209.0,50251.0,53210.0,41250.0,8064.557439695108,4290.197712281588,0
Karabük,karabuk,2021,Karadeniz,Batı Karadeniz,249287.0,16168.0,11598.0,4570.0,18.50187447874916,62874,0.25221531808718467,224633.0,8251.0,16859.0,33100.0,55041.0,38005.0,3818.0,833.0,0.0367310234916508,0.2450263318390441,0.1691870740274136,0.0207048830759505,0.18989195710336415,TR812,2020-2021,131.27,86.97,44.3,20808.0,7243.0,13565.0,13561.0,7247.0,8347.005660142728,5441.519212794891,1
Karaman,karaman,2021,İç Anadolu,Batı Anadolu,258838.0,12420.0,10885.0,1535.0,5.947987081049558,72653,0.28068907965600104,234943.0,4142.0,20408.0,42401.0,46557.0,31143.0,3277.0,587.0,0.017629808081109,0.1981629586750828,0.1325555560284835,0.016446542352826,0.1490020983813095,TR522,2020-2021,101.48,62.01,39.47,25707.0,10560.0,15147.0,16032.0,9675.0,9931.694727976572,5851.922824314823,1
Kars,kars,2021,Doğu Anadolu,Kuzeydoğu Anadolu,281077.0,11259.0,16471.0,-5212.0,-18.37262014290599,52066,0.18523749719827662,251829.0,12623.0,28326.0,54269.0,46745.0,27051.0,3263.0,667.0,0.050125283426452,0.1856219895246377,0.1074181289684667,0.015605827764078,0.12302395673254471,TRA22,2020-2021,121.3,67.68,53.62,21018.0,7749.0,13269.0,14217.0,6801.0,7477.6662622697695,4720.770465032713,0
